Date : 2022-10-26 16:13:40
Directory : c:\Drive\Dev\CPP\opengl\OpenGL\src
Total : 222 files,  -54006 codes, -7806 comments, -8792 blanks, all -70604 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_e.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_e.js                           | JavaScript |         -7 |          0 |         -1 |         -8 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_f.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_f.js                           | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\classes_0.html                     | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\classes_0.js                       | JavaScript |         -7 |          0 |         -1 |         -8 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\close.svg                          | XML        |        -31 |          0 |         -1 |        -32 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\defines_0.html                     | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\defines_0.js                       | JavaScript |        -32 |          0 |         -1 |        -33 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_0.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_0.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_1.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_1.js                         | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_2.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_2.js                         | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_3.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_3.js                         | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_4.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_4.js                         | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_5.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_5.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_6.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_6.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_7.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_7.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
